Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
13:17:52 Jul 20 2026,98,65,12,0,0
13:17:56 Jul 20 2026,98,62,9,0,0
13:18:00 Jul 20 2026,98,62,0,0,0
13:18:04 Jul 20 2026,98,61,2,0,0
13:18:08 Jul 20 2026,99,61,3,0,0
13:18:12 Jul 20 2026,99,61,5,0,0
13:18:16 Jul 20 2026,99,61,3,0,0
13:18:20 Jul 20 2026,98,62,14,0,0
13:18:24 Jul 20 2026,98,65,0,0,0
13:18:28 Jul 20 2026,98,65,0,0,0
13:18:32 Jul 20 2026,98,61,4,0,0
13:18:36 Jul 20 2026,98,61,3,0,0
13:18:40 Jul 20 2026,98,65,0,0,0
13:18:44 Jul 20 2026,98,66,0,0,0
13:18:48 Jul 20 2026,98,64,0,0,0
13:18:52 Jul 20 2026,98,62,0,0,0
13:18:56 Jul 20 2026,98,64,13,0,0
13:19:00 Jul 20 2026,98,63,0,0,0
13:19:04 Jul 20 2026,98,59,0,0,0
13:19:08 Jul 20 2026,98,59,0,0,0
13:19:12 Jul 20 2026,98,58,2,0,0
13:19:16 Jul 20 2026,98,59,3,0,0
13:19:20 Jul 20 2026,98,59,5,0,0
13:19:24 Jul 20 2026,98,59,2,0,0
13:19:28 Jul 20 2026,98,60,1,0,0
13:19:32 Jul 20 2026,98,61,2,0,0
13:19:36 Jul 20 2026,98,63,2,0,0
13:19:40 Jul 20 2026,98,64,34,0,0
13:19:44 Jul 20 2026,98,64,2,0,0
13:19:48 Jul 20 2026,98,65,1,0,0
13:19:52 Jul 20 2026,98,63,2,0,0
13:19:56 Jul 20 2026,99,62,0,0,0
13:20:00 Jul 20 2026,99,62,17,0,0
13:20:04 Jul 20 2026,99,62,0,0,0
13:20:08 Jul 20 2026,99,62,0,0,0
13:20:12 Jul 20 2026,98,62,0,0,0
13:20:16 Jul 20 2026,98,62,2,0,0
13:20:20 Jul 20 2026,98,62,2,0,0
13:20:24 Jul 20 2026,98,62,4,0,0
13:20:28 Jul 20 2026,98,64,1,0,0
13:20:32 Jul 20 2026,98,64,5,0,0
13:20:36 Jul 20 2026,98,65,1,0,0
13:20:40 Jul 20 2026,98,63,1,0,0
13:20:44 Jul 20 2026,98,61,0,0,0
13:20:48 Jul 20 2026,98,60,0,0,0
13:20:52 Jul 20 2026,98,59,0,0,0
13:20:56 Jul 20 2026,98,62,1,0,0
13:21:00 Jul 20 2026,98,63,3,0,0
13:21:04 Jul 20 2026,98,61,0,0,0
13:21:08 Jul 20 2026,98,61,1,0,0
13:21:12 Jul 20 2026,98,60,5,0,0
13:21:16 Jul 20 2026,98,60,0,0,0
13:21:20 Jul 20 2026,98,60,4,0,0
13:21:24 Jul 20 2026,98,60,2,0,0
13:21:28 Jul 20 2026,98,60,1,0,0
13:21:32 Jul 20 2026,98,60,5,0,0
13:21:36 Jul 20 2026,98,60,0,0,0
13:21:40 Jul 20 2026,98,60,0,0,0
13:21:44 Jul 20 2026,98,61,1,0,0
13:21:48 Jul 20 2026,98,61,1,0,0
13:21:52 Jul 20 2026,98,62,0,0,0
13:21:56 Jul 20 2026,98,62,0,0,0
13:22:00 Jul 20 2026,98,61,0,0,0
13:22:04 Jul 20 2026,98,60,0,0,0
13:22:08 Jul 20 2026,98,58,0,0,0
13:22:12 Jul 20 2026,98,58,0,0,0
13:22:16 Jul 20 2026,98,59,0,0,0
13:22:20 Jul 20 2026,98,59,8,0,0
13:22:24 Jul 20 2026,98,60,0,0,0
13:22:28 Jul 20 2026,98,60,0,0,0
13:22:32 Jul 20 2026,98,59,1,0,0
13:22:36 Jul 20 2026,98,58,2,0,0
13:22:40 Jul 20 2026,98,58,0,0,0
13:22:44 Jul 20 2026,97,58,1,0,0
13:22:48 Jul 20 2026,97,59,0,0,0
13:22:52 Jul 20 2026,98,59,0,0,0
13:22:56 Jul 20 2026,98,59,0,0,0
13:23:00 Jul 20 2026,98,59,0,0,0
13:23:04 Jul 20 2026,98,59,0,0,0
13:23:08 Jul 20 2026,98,59,0,0,0
13:23:12 Jul 20 2026,98,62,0,0,0
13:23:16 Jul 20 2026,98,60,0,0,0
13:23:20 Jul 20 2026,98,57,0,0,0
13:23:24 Jul 20 2026,98,57,0,0,0
13:23:28 Jul 20 2026,98,58,0,0,0
13:23:32 Jul 20 2026,98,59,1,0,0
13:23:36 Jul 20 2026,98,59,1,0,0
13:23:40 Jul 20 2026,98,59,0,0,0
13:23:44 Jul 20 2026,98,59,0,0,0
13:23:48 Jul 20 2026,98,58,0,0,0
13:23:52 Jul 20 2026,98,58,2,0,0
13:23:56 Jul 20 2026,98,58,4,0,0
13:24:00 Jul 20 2026,98,61,0,0,0
13:24:04 Jul 20 2026,98,65,0,0,0
13:24:08 Jul 20 2026,97,67,0,0,0
13:24:12 Jul 20 2026,97,67,0,0,0
13:24:16 Jul 20 2026,97,67,2,0,0
13:24:20 Jul 20 2026,97,68,1,0,0
13:24:24 Jul 20 2026,97,67,1,0,0
13:24:28 Jul 20 2026,97,67,0,0,0
13:24:32 Jul 20 2026,97,62,4,0,0
13:24:36 Jul 20 2026,98,58,1,0,0
13:24:40 Jul 20 2026,98,58,2,0,0
13:24:44 Jul 20 2026,98,57,0,0,0
13:24:48 Jul 20 2026,98,56,0,0,0
13:24:52 Jul 20 2026,98,56,1,0,0
13:24:56 Jul 20 2026,98,58,0,0,0
13:25:00 Jul 20 2026,99,58,0,0,0
13:25:04 Jul 20 2026,98,56,3,0,0
13:25:08 Jul 20 2026,98,58,3,0,0
13:25:12 Jul 20 2026,98,62,0,0,0
13:25:16 Jul 20 2026,98,62,0,0,0
13:25:20 Jul 20 2026,98,61,0,0,0
13:25:24 Jul 20 2026,98,58,0,0,0
13:25:28 Jul 20 2026,98,58,0,0,0
13:25:32 Jul 20 2026,98,56,0,0,0
13:25:36 Jul 20 2026,98,55,0,0,0
13:25:40 Jul 20 2026,98,56,1,0,0
13:25:44 Jul 20 2026,98,57,0,0,0
13:25:48 Jul 20 2026,98,61,0,0,0
13:25:52 Jul 20 2026,98,62,0,0,0
13:25:56 Jul 20 2026,98,63,0,0,0
13:26:00 Jul 20 2026,98,62,3,0,0
13:26:04 Jul 20 2026,98,61,1,0,0
13:26:08 Jul 20 2026,99,60,0,0,0
13:26:12 Jul 20 2026,99,60,0,0,0
13:26:16 Jul 20 2026,98,60,0,0,0
13:26:20 Jul 20 2026,98,61,0,0,0
13:26:24 Jul 20 2026,99,63,0,0,0
13:26:28 Jul 20 2026,99,63,14,0,0
13:26:32 Jul 20 2026,99,63,6,0,0
13:26:36 Jul 20 2026,99,63,4,0,0
13:26:40 Jul 20 2026,99,63,26,0,0
13:26:44 Jul 20 2026,99,63,26,0,0
13:26:48 Jul 20 2026,99,63,3,0,0
13:26:52 Jul 20 2026,99,63,5,0,0
13:26:56 Jul 20 2026,99,63,14,0,0
13:27:00 Jul 20 2026,99,63,4,0,0
13:27:04 Jul 20 2026,99,63,4,0,0
13:27:08 Jul 20 2026,99,63,5,0,0
13:27:12 Jul 20 2026,99,63,8,0,0
13:27:16 Jul 20 2026,99,64,11,0,0
13:27:20 Jul 20 2026,99,64,0,0,0
13:27:24 Jul 20 2026,98,68,0,0,0
13:27:28 Jul 20 2026,98,71,0,0,0
13:27:32 Jul 20 2026,98,69,2,0,0
13:27:36 Jul 20 2026,98,67,0,0,0
13:27:40 Jul 20 2026,98,64,0,0,0
13:27:44 Jul 20 2026,98,64,0,0,0
13:27:48 Jul 20 2026,98,63,0,0,0
13:27:52 Jul 20 2026,98,62,0,0,0
13:27:56 Jul 20 2026,98,61,0,0,0
13:28:00 Jul 20 2026,98,58,1,0,0
13:28:04 Jul 20 2026,98,57,0,0,0
13:28:08 Jul 20 2026,98,57,0,0,0
13:28:12 Jul 20 2026,98,56,0,0,0
13:28:16 Jul 20 2026,98,56,0,0,0
13:28:20 Jul 20 2026,98,56,0,0,0
13:28:24 Jul 20 2026,98,56,0,0,0
13:28:28 Jul 20 2026,98,55,0,0,0
13:28:32 Jul 20 2026,98,54,0,0,0
13:28:36 Jul 20 2026,98,54,0,0,0
13:28:40 Jul 20 2026,98,54,0,0,0
13:28:44 Jul 20 2026,98,55,0,0,0
13:28:48 Jul 20 2026,98,55,0,0,0
13:28:52 Jul 20 2026,98,56,2,0,0
13:28:56 Jul 20 2026,98,58,0,0,0
13:29:00 Jul 20 2026,98,58,0,0,0
13:29:04 Jul 20 2026,98,60,0,0,0
13:29:08 Jul 20 2026,98,60,0,0,0
13:29:12 Jul 20 2026,98,60,0,0,0
13:29:16 Jul 20 2026,98,61,0,0,0
13:29:20 Jul 20 2026,98,62,0,0,0
13:29:24 Jul 20 2026,98,62,2,0,0
13:29:28 Jul 20 2026,98,61,1,0,0
13:29:32 Jul 20 2026,98,59,1,0,0
13:29:36 Jul 20 2026,98,57,0,0,0
13:29:40 Jul 20 2026,97,57,2,0,0
13:29:44 Jul 20 2026,98,56,0,0,0
13:29:48 Jul 20 2026,98,56,0,0,0
13:29:52 Jul 20 2026,98,56,0,0,0
13:29:56 Jul 20 2026,98,56,0,0,0
13:30:00 Jul 20 2026,98,56,0,0,0
13:30:04 Jul 20 2026,97,56,0,0,0
13:30:08 Jul 20 2026,97,56,0,0,0
13:30:12 Jul 20 2026,98,56,1,0,0
13:30:16 Jul 20 2026,98,56,2,0,0
13:30:20 Jul 20 2026,98,56,0,0,0
13:30:24 Jul 20 2026,98,57,0,0,0
13:30:28 Jul 20 2026,98,59,0,0,0
13:30:32 Jul 20 2026,98,59,8,0,0
13:30:36 Jul 20 2026,97,58,4,0,0
13:30:40 Jul 20 2026,97,58,3,0,0
13:30:44 Jul 20 2026,98,61,3,0,0
13:30:48 Jul 20 2026,97,61,0,0,0
13:30:52 Jul 20 2026,97,61,1,0,0
13:30:56 Jul 20 2026,98,61,2,0,0
13:31:00 Jul 20 2026,98,61,5,0,0
13:31:04 Jul 20 2026,98,61,1,0,0
13:31:08 Jul 20 2026,98,61,0,0,0
13:31:12 Jul 20 2026,98,55,0,0,0
13:31:16 Jul 20 2026,98,55,0,0,0
13:31:20 Jul 20 2026,98,53,0,0,0
13:31:24 Jul 20 2026,98,53,0,0,0
13:31:28 Jul 20 2026,98,54,0,0,0
13:31:32 Jul 20 2026,98,54,0,0,0
13:31:36 Jul 20 2026,98,55,3,0,0
13:31:40 Jul 20 2026,98,57,1,0,0
13:31:44 Jul 20 2026,98,61,6,0,0
13:31:48 Jul 20 2026,97,61,0,0,0
13:31:52 Jul 20 2026,97,61,2,0,0
13:31:56 Jul 20 2026,97,57,0,0,0
13:32:00 Jul 20 2026,97,57,0,0,0
13:32:04 Jul 20 2026,97,56,0,0,0
13:32:08 Jul 20 2026,97,54,0,0,0
13:32:12 Jul 20 2026,97,53,0,0,0
13:32:16 Jul 20 2026,97,53,0,0,0
13:32:20 Jul 20 2026,97,54,4,0,0
13:32:24 Jul 20 2026,97,54,2,0,0
13:32:28 Jul 20 2026,97,55,0,0,0
13:32:32 Jul 20 2026,97,57,0,0,0
13:32:36 Jul 20 2026,98,58,0,0,0
13:32:40 Jul 20 2026,98,57,1,0,0
13:32:44 Jul 20 2026,98,56,0,0,0
13:32:48 Jul 20 2026,98,55,1,0,0
13:32:52 Jul 20 2026,98,55,3,0,0
13:32:56 Jul 20 2026,98,55,6,0,0
13:33:00 Jul 20 2026,98,57,1,0,0
13:33:04 Jul 20 2026,98,58,1,0,0
13:33:08 Jul 20 2026,98,62,7,0,0
13:33:12 Jul 20 2026,97,65,3,0,0
13:33:16 Jul 20 2026,98,63,5,0,0
13:33:20 Jul 20 2026,97,56,1,0,0
13:33:24 Jul 20 2026,97,55,0,0,0
13:33:28 Jul 20 2026,97,56,0,0,0
13:33:32 Jul 20 2026,97,55,0,0,0
13:33:36 Jul 20 2026,97,54,0,0,0
13:33:40 Jul 20 2026,98,55,0,0,0
13:33:44 Jul 20 2026,97,54,0,0,0
13:33:48 Jul 20 2026,97,53,0,0,0
13:33:52 Jul 20 2026,97,53,0,0,0
13:33:56 Jul 20 2026,97,54,0,0,0
13:34:00 Jul 20 2026,98,56,0,0,0
13:34:04 Jul 20 2026,98,54,0,0,0
13:34:08 Jul 20 2026,97,52,0,0,0
13:34:12 Jul 20 2026,97,51,0,0,0
13:34:16 Jul 20 2026,97,52,1,0,0
13:34:20 Jul 20 2026,97,53,0,0,0
13:34:24 Jul 20 2026,97,56,1,0,0
13:34:28 Jul 20 2026,97,59,0,0,0
13:34:32 Jul 20 2026,97,60,1,0,0
13:34:36 Jul 20 2026,97,60,2,0,0
13:34:40 Jul 20 2026,97,58,0,0,0
